date,id,opponentRanking,result,opponent
2016-04-01,8185686,930,-1,WiseAmazon
2016-04-01,8185642,847,1,JoyfulPepper
2016-04-01,8185576,839,-1,SloppyCalculator
2016-03-31,8181963,1073,-1,LooseRock
2016-03-31,8181739,895,-1,HealthyInvention
2016-03-31,8181628,909,-1,ChessKingMatey
2016-03-31,8181519,496,1,ERASyon
2016-03-31,8181356,989,-1,CCSMatthew
2016-03-31,8180002,856,1,SKYFLAKE10
2016-03-31,8179995,411,1,SmileyPie
2016-03-31,8179882,730,1,TFChess
2016-03-31,8179796,975,-1,BetterButter
2016-03-31,8179678,817,1,SteadfastQueso
2016-03-31,8179612,1144,-1,BroadTank
2016-03-31,8179248,855,1,SteadfastPotassium
2016-03-31,8179244,635,1,Om2008
2016-03-31,8179069,857,-1,Mooswa
2016-03-31,8178979,1154,-1,WarlikeJuice
2016-03-31,8178966,733,1,Efrem
2016-03-31,8178951,583,1,LovingOnion
2016-04-04,8207355,786,1,GreatSummer
2016-04-04,8207212,860,-1,SnoozingSong
2016-04-04,8207210,530,1,WetPassenger
2016-04-04,8206454,1070,-1,SeriousFang
2016-04-04,8206278,721,1,HarryDC
2016-04-04,8206233,765,1,hamza110
2016-04-04,8206220,838,-1,Rowantree
2016-04-04,8206078,1056,-1,LivelyDeer
2016-04-03,8206067,593,1,MessyKatydid
2016-04-03,8206064,405,1,CuddlyPeace
2016-04-03,8203568,1220,-1,StunningDock
2016-04-03,8202961,672,1,TheRedHairedBigFoot
2016-04-03,8200232,810,-1,StandingPeanut
2016-04-03,8199829,557,1,ESMSHughC
2016-04-06,8220341,877,1,dcccken
2016-04-06,8219954,1165,-1,NP166E34BM
2016-04-06,8219931,674,1,ChessNYCPS11MAXIMILIANC
2016-04-06,8219912,859,1,skylarng
2016-04-06,8219676,846,-1,FlickeringFlood
2016-04-06,8219668,645,1,BeigeTablet
2016-04-05,8214182,858,-1,VioletAtom
2016-04-05,8214149,255,1,PricelessBull
2016-04-05,8214050,910,-1,StripedMajor
2016-04-05,8213747,1267,-1,LyingThrill
2016-04-05,8213745,566,1,johanp
2016-04-05,8213517,610,-1,erickm
2016-04-05,8213377,1035,-1,CharmingLion
2016-04-05,8213357,661,1,dogilo
2016-04-08,8234430,1241,1,JHawk3545
2016-04-08,8234268,1112,-1,abinavdinesh
2016-04-08,8234174,722,1,ahmetkagan_kuru
2016-04-08,8233878,1104,-1,monmaster
2016-04-08,8233735,953,-1,BrainyAnteater
2016-04-07,8229287,1135,-1,MrBailey
2016-04-07,8229269,347,1,ChangeablePool
2016-04-07,8229135,838,1,itark
2016-04-07,8228410,962,-1,FluggyGoat
2016-04-07,8228408,1037,1,GoldModem
2016-04-07,8228401,622,1,AnnoyingGecko
2016-04-07,8227550,992,-1,JadedFir
2016-04-07,8227383,780,1,Purvesh22
2016-04-07,8227294,720,1,SilentIris
2016-04-03,8199813,609,1,SteepTurkey
2016-04-02,8196159,777,-1,CalculatingFir
2016-04-02,8196020,670,1,UltraTortoise
2016-04-02,8196010,723,1,AncientMinister
2016-04-02,8195514,863,-1,FlickeringFlood
2016-04-02,8195462,813,-1,BronzeTruck
2016-04-05,8213307,952,-1,SingingApe
2016-04-05,8213205,836,1,Rowantree
